owner,name,type,message
gitstua-labs,webhook-alternative,repository-environments,"There is 1 environment on this repository, which will not be migrated"
gitstua-labs,demo-arc1,repository-actions-workflow-runs,"This repository has 6 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,universe-wip,repository-actions-workflow-runs,"This repository has 6 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,vnet-demo,repository-actions-workflow-runs,"This repository has 1 GitHub Actions workflow run, which will not be migrated"
gitstua-labs,vulnerable-express1,repository-actions-workflow-runs,"This repository has 5 GitHub Actions workflow runs, which will not be migrated"
gitstua-labs,vulnerable-express1,repository-code-scanning-alerts,"This repository has one or more Code Scanning alerts, which will not be migrated."
gitstua-labs,vulnerable-express1,repository-code-scanning-analyses,"This repository has one or more Code Scanning analyses, which will not be migrated"
gitstua-labs,vulnerable-express1,repository-code-scanning-default-setup,"This repository has Code Scanning default setup configuration enabled, which will not be migrated"
gitstua-labs,vulnerable-express1,repository-dependabot-alerts,This repository has one or more Dependabot alerts which will not be migrated
gitstua-labs,pr-approval-trigger,repository-actions-workflow-runs,"This repository has 1 GitHub Actions workflow run, which will not be migrated"
